orden,hora,lat,lon,temp,P_A,P_B,P_C,P_D,ocup_P_A,ocup_P_B,ocup_P_C,ocup_P_D,P_fmax,P_fmin
29.0,2019-11-07 10:03:38,6.16507,-75.6004483333,48.070175,-54.89900542025857,-58.59421770166482,-38.84992574377144,-50.661671597903826,True,True,True,True,-33.15815028848799,-58.44793929454757
30.0,2019-11-07 10:04:46,6.16771,-75.5965416667,48.362574,-69.86656937097054,-64.64071895275242,-46.705382050950625,-66.25759621099024,False,False,True,False,-42.05280450189696,-95.0
31.0,2019-11-07 10:05:18,6.16734166667,-75.594955,48.362574,-58.81606577458247,-29.06180385044227,-44.22972305366271,-38.850409030653886,True,True,True,True,-37.01375684675837,-61.57633488500943
32.0,2019-11-07 10:06:54,6.17039333333,-75.5951666667,48.947372,-86.1907074307272,-95.0,-59.52123401727122,-95.0,False,False,True,False,-48.22491940192297,-95.0
33.0,2019-11-07 10:08:28,6.173835,-75.5921633333,48.362574,-65.7141008941678,-38.8909909603875,-40.250323179878215,-63.29709225914346,False,True,True,False,-35.38739011639621,-64.70107472986852
34.0,2019-11-07 10:10:14,6.17920166667,-75.5882983333,48.654973,-57.5727134848606,-27.89431091490158,-51.300020858926054,-39.304912822139684,True,True,True,True,-51.498831089364984,-58.61238463124206
35.0,2019-11-07 10:11:56,6.17748333333,-75.5859616667,48.947372,-63.460614206948556,-56.12644826614219,-40.90540423448075,-60.298377738508755,False,True,True,False,-48.8821339593014,-64.57303576440077
36.0,2019-11-07 10:14:06,6.17896166667,-75.58374,48.947372,-64.83758960435645,-61.48300436013035,-34.53716186760522,-60.500276509303816,False,False,True,False,-46.386416709718794,-62.57059112696596
37.0,2019-11-07 10:16:12,6.183435,-75.5797116667,48.947372,-48.0615973742205,-64.6346358224969,-52.279409714557815,-65.16020156543738,True,False,True,False,-53.78245924790509,-60.30886278126527
38.0,2019-11-07 10:17:36,6.18726333333,-75.577865,49.239769,-83.23528865487509,-74.80238341231868,-47.77685434039747,-78.78113746889761,False,False,True,False,-53.503837091725984,-95.0
39.0,2019-11-07 10:19:32,6.19392,-75.5763916667,49.824562,-83.90257827189721,-95.0,-50.3401115818309,-95.0,False,False,True,False,-37.55960106956256,-95.0
40.0,2019-11-07 10:20:12,6.19710833333,-75.5745933333,49.532166,-86.55450042090187,-95.0,-48.31219015708903,-95.0,False,False,True,False,-35.94570678946877,-95.0
41.0,2019-11-07 10:21:18,6.19830166667,-75.5740483333,49.239769,-67.20325786378466,-64.3695348910096,-51.955771491893756,-64.54172875969773,False,False,True,False,-45.06929773038189,-95.0
42.0,2019-11-07 10:23:24,6.199565,-75.5733716667,49.239769,-76.87791071344813,-67.10292225342232,-46.27755757574808,-78.06087116014749,False,False,True,False,-42.743237670229504,-95.0
43.0,2019-11-07 10:24:10,6.20146,-75.572355,49.532166,-83.70677275789225,-75.33118841669405,-51.29273800013769,-76.98940465104118,False,False,True,False,-41.674781274920896,-95.0
44.0,2019-11-07 10:24:52,6.202915,-75.5718583333,49.532166,-65.61354265055562,-62.05549431166361,-41.94693731007378,-61.41937149759385,False,False,True,False,-40.51708274177257,-95.0
45.0,2019-11-07 10:26:10,6.20574666667,-75.57146,49.239769,-57.892490582429936,-28.389114482151196,-51.94524619504632,-38.43807148160337,True,True,True,True,-51.12478037989386,-62.60566642914172
46.0,2019-11-07 10:28:34,6.20934833333,-75.57089,49.824562,-83.41688356932353,-95.0,-51.05053736704192,-95.0,False,False,True,False,-56.32471730919718,-95.0
47.0,2019-11-07 10:30:26,6.21079166667,-75.5703366667,49.532166,-95.0,-95.0,-55.315078293220246,-95.0,False,False,True,False,-55.11936325778558,-95.0
48.0,2019-11-07 10:31:22,6.21239166667,-75.569955,48.947372,-77.91649088412892,-61.70548067583324,-42.216329436807236,-68.45157591583414,False,False,True,False,-40.222294838531454,-95.0
49.0,2019-11-07 10:33:52,6.21962333333,-75.5694416667,49.532166,-95.0,-87.50971859113541,-41.28338555458379,-95.0,False,False,True,False,-50.86069413634824,-95.0
50.0,2019-11-07 10:35:56,6.2267,-75.56914,48.947372,-68.10654443667842,-61.98651135986053,-42.49956568254312,-67.40086249893847,False,False,True,False,-53.862236427728945,-95.0
51.0,2019-11-07 10:36:54,6.22819666667,-75.57015,49.239769,-74.02167282346582,-72.8484535742623,-55.916551077075994,-75.38577954545316,False,False,True,False,-55.32739734111154,-95.0
52.0,2019-11-07 10:39:02,6.231,-75.5742516667,48.947372,-54.56254353011605,-52.05857606393312,-33.698857891753626,-51.850562647346365,True,True,True,True,-34.876758221022605,-53.40751526536751
53.0,2019-11-07 10:40:28,6.232,-75.5773766667,49.532166,-75.59729423540907,-74.00021259117578,-52.75072486527737,-78.21448569239232,False,False,True,False,-45.273363761133474,-95.0
54.0,2019-11-07 10:41:18,6.23199,-75.58073,48.947372,-73.88240716574444,-65.59972430313779,-45.3196197765773,-70.95334455626494,False,False,True,False,-40.25959968620411,-95.0
55.0,2019-11-07 10:43:52,6.23184,-75.58601,49.532166,-76.26513276335528,-75.68444587829725,-41.380940270980105,-69.94102969503993,False,False,True,False,-32.11105905804685,-95.0
56.0,2019-11-07 10:45:52,6.23434166667,-75.5873216667,49.532166,-61.29243843750396,-58.62096049543217,-35.534605338918574,-57.87999339359612,False,True,True,True,-25.519528515094304,-64.67766206753672
57.0,2019-11-07 10:47:36,6.23608333333,-75.5904866667,49.239769,-52.50551537216063,-51.571981452918585,-34.71551861983635,-51.44959284231877,True,True,True,True,-28.446764245183154,-60.18688269844816
58.0,2019-11-07 10:50:02,6.23811,-75.590845,49.239769,-79.13170996200535,-76.38561380935771,-52.718512017652884,-84.35330205373269,False,False,True,False,-41.669345229143104,-95.0
59.0,2019-11-07 10:50:34,6.23820833333,-75.590755,48.947372,-75.47237023717791,-65.12894157793806,-43.0732238911002,-70.34364777973092,False,False,True,False,-33.04689667351292,-95.0
60.0,2019-11-07 10:53:38,6.23899666667,-75.589925,49.824562,-61.42066435748211,-58.02735387578402,-40.928106464638894,-58.22493160856709,False,True,True,True,-38.17219317013877,-64.5613227427174
61.0,2019-11-07 10:54:44,6.24042333333,-75.5908283333,50.409355,-59.87398388285509,-56.36322829041396,-39.18009190227536,-57.341255658112225,True,True,True,True,-31.973240236678496,-95.0
