canal,lat,lon,metodo,radio95_m,R2_modelo,n_perdidas,lat_modelo,lon_modelo,dist_a_ruta_m
A,6.200155403510824,-75.58509092336108,centroide ponderado,3345.6804810855065,0.11577323377134363,2.0000000000000004,6.170486646158824,-75.6097751461278,121.53254075857367
B,6.1821722169245525,-75.59101783997014,centroide ponderado,1662.052370082654,0.14924470039807503,2.000000000000108,6.168726560244657,-75.60623955932668,228.90557020997318
C,6.195327444134115,-75.58815238471891,centroide ponderado,3438.9210018816057,0.10461515624086848,2.0000000000000004,6.168507179725999,-75.6075446023628,353.3166879745839
D,6.194817158451665,-75.58618749103417,centroide ponderado,2577.689971098973,0.13592249196705508,2.000000000000029,6.167910509364399,-75.60786251002247,253.01401427518368
